,Team,Year,Attendance,League,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
51,CHW,1992,2681156,AL,738,690,86,0.336,0.383,0.261,0,,,162,,
52,CIN,1992,2315946,NL,660,609,90,0.328,0.382,0.26,0,,,162,,
53,CLE,1992,1224094,AL,674,746,76,0.323,0.383,0.266,0,,,162,,
54,DET,1992,1423963,AL,791,794,75,0.337,0.407,0.256,0,,,162,,
55,HOU,1992,1211412,NL,608,668,81,0.313,0.359,0.246,0,,,162,,
56,KCR,1992,1867689,AL,610,667,72,0.315,0.364,0.256,0,,,162,,
57,MIL,1992,1857351,AL,740,604,92,0.33,0.375,0.268,0,,,162,,
58,MIN,1992,2482428,AL,747,653,90,0.341,0.391,0.277,0,,,162,,
59,NYM,1992,1779534,NL,599,653,72,0.31,0.342,0.235,0,,,162,,
60,NYY,1992,1748737,AL,733,746,76,0.328,0.406,0.261,0,,,162,,
61,OAK,1992,2494160,AL,745,672,96,0.346,0.386,0.258,1,2,3,162,,
62,PHI,1992,1927448,NL,686,717,70,0.32,0.377,0.253,0,,,162,,
63,PIT,1992,1829395,NL,693,595,96,0.324,0.381,0.255,1,2,3,162,,
64,SDP,1992,1721406,NL,617,636,82,0.313,0.386,0.255,0,,,162,,
65,SEA,1992,1423963,AL,679,799,64,0.323,0.402,0.263,0,,,162,,
66,SFG,1992,1560998,NL,574,647,72,0.302,0.355,0.244,0,,,162,,
67,STL,1992,2418483,NL,631,604,83,0.323,0.375,0.262,0,,,162,,
68,TEX,1992,2198231,AL,682,753,77,0.321,0.393,0.25,0,,,162,,
69,TOR,1992,4028318,AL,780,682,96,0.333,0.414,0.263,1,2,1,162,,
70,ATL,1993,3884720,NL,767,559,104,0.331,0.408,0.262,1,1,3,162,,
71,BAL,1993,3644965,AL,786,745,85,0.346,0.413,0.267,0,,,162,,
72,BOS,1993,2422021,AL,686,698,80,0.33,0.395,0.264,0,,,162,,
73,CHC,1993,2653763,NL,738,739,84,0.325,0.414,0.27,0,,,163,,
74,CHW,1993,2581091,AL,776,664,94,0.338,0.411,0.265,1,4,3,162,,
75,CIN,1993,2453232,NL,722,785,73,0.324,0.396,0.264,0,,,162,,
76,CLE,1993,2177908,AL,790,813,76,0.335,0.409,0.275,0,,,162,,
77,DET,1993,1971421,AL,899,837,85,0.362,0.434,0.275,0,,,162,,
78,HOU,1993,2084618,NL,716,630,85,0.33,0.409,0.267,0,,,162,,
79,KCR,1993,1934578,AL,675,694,84,0.32,0.397,0.263,0,,,162,,
80,MIL,1993,1688080,AL,733,792,69,0.328,0.378,0.258,0,,,162,,
81,MIN,1993,2048673,AL,693,830,71,0.327,0.385,0.264,0,,,162,,
82,NYM,1993,1873183,NL,672,744,59,0.305,0.39,0.248,0,,,162,,
83,NYY,1993,2416942,AL,821,761,88,0.353,0.435,0.279,0,,,162,,
84,OAK,1993,2035025,AL,715,846,68,0.33,0.394,0.254,0,,,162,,
85,PHI,1993,3137674,NL,877,740,97,0.351,0.426,0.274,1,2,2,162,,
86,PIT,1993,1650593,NL,707,806,75,0.335,0.393,0.267,0,,,162,,
87,SDP,1993,1375432,NL,679,772,61,0.312,0.389,0.252,0,,,162,,
88,SEA,1993,2052638,AL,734,731,82,0.339,0.406,0.26,0,,,162,,
89,SFG,1993,2606354,NL,808,636,103,0.34,0.427,0.276,0,,,162,,
90,STL,1993,2844977,NL,758,744,87,0.341,0.395,0.272,0,,,162,,
91,TEX,1993,2244616,AL,835,751,86,0.329,0.431,0.267,0,,,162,,
92,TOR,1993,4057947,AL,847,742,95,0.35,0.436,0.279,1,3,1,162,,
93,ATL,1996,2901242,NL,773,648,96,0.333,0.432,0.27,1,2,2,162,,
94,BAL,1996,3646950,AL,949,903,88,0.35,0.472,0.274,1,6,3,163,,
95,BOS,1996,2315231,AL,928,921,85,0.359,0.457,0.283,0,,,162,,
96,CHC,1996,2219110,NL,772,771,76,0.32,0.401,0.251,0,,,162,,
97,CHW,1996,1676403,AL,898,794,85,0.36,0.447,0.281,0,,,162,,
98,CIN,1996,1861428,NL,778,773,81,0.331,0.422,0.256,0,,,162,,
99,CLE,1996,3318174,AL,952,769,99,0.369,0.475,0.293,1,1,4,161,,
100,DET,1996,1168610,AL,783,1103,53,0.323,0.42,0.256,0,,,162,,
101,HOU,1996,1975888,NL,753,792,82,0.336,0.397,0.262,0,,,162,,
102,KCR,1996,1435997,AL,746,786,75,0.332,0.398,0.267,0,,,161,,
103,MIL,1996,1327155,AL,894,899,80,0.353,0.441,0.279,0,,,162,,
104,MIN,1996,1437352,AL,877,900,78,0.357,0.425,0.288,0,,,162,,
105,NYM,1996,1588323,NL,746,779,71,0.324,0.412,0.27,0,,,162,,
106,NYY,1996,2250877,AL,871,787,92,0.36,0.436,0.288,1,3,1,162,,
107,OAK,1996,1148380,AL,861,900,78,0.344,0.452,0.265,0,,,162,,
108,PHI,1996,1801677,NL,650,790,67,0.325,0.387,0.256,0,,,162,,
109,PIT,1996,1332150,NL,776,833,73,0.329,0.407,0.266,0,,,162,,
110,SDP,1996,2187886,NL,771,682,91,0.338,0.402,0.265,1,4,4,162,,
111,SEA,1996,2723850,AL,993,895,85,0.366,0.484,0.287,0,,,161,,
112,SFG,1996,1413922,NL,752,862,68,0.331,0.388,0.253,0,,,162,,
113,STL,1996,2654718,NL,759,706,88,0.33,0.407,0.267,1,6,3,162,,
114,TEX,1996,2889020,AL,928,799,90,0.358,0.469,0.284,1,5,4,163,,
115,TOR,1996,2559573,AL,766,809,74,0.331,0.42,0.259,0,,,162,,
116,ATL,1997,3464488,NL,791,581,101,0.343,0.426,0.27,1,1,3,162,,
117,BAL,1997,3711132,AL,812,681,98,0.341,0.429,0.268,1,2,3,162,,
118,BOS,1997,2226136,AL,851,857,78,0.352,0.463,0.291,0,,,162,,
119,CHC,1997,2190308,NL,687,759,68,0.321,0.396,0.263,0,,,162,,
120,CHW,1997,1864782,AL,779,833,80,0.341,0.417,0.273,0,,,161,,
121,CIN,1997,1785788,NL,651,764,76,0.321,0.389,0.253,0,,,162,,
122,CLE,1997,3404750,AL,868,815,86,0.358,0.467,0.286,1,6,2,161,,
123,DET,1997,1365157,AL,784,790,79,0.332,0.415,0.258,0,,,162,,
124,HOU,1997,2046781,NL,777,660,84,0.344,0.403,0.259,1,7,4,162,,
125,KCR,1997,1517638,AL,747,820,67,0.333,0.407,0.264,0,,,161,,
126,MIL,1997,1444027,AL,681,742,78,0.325,0.398,0.26,0,,,161,,
127,MIN,1997,1411064,AL,772,861,68,0.333,0.409,0.27,0,,,162,,
128,NYM,1997,1766174,NL,777,709,88,0.332,0.405,0.262,0,,,162,,
129,NYY,1997,2580325,AL,891,688,96,0.362,0.436,0.287,1,3,4,162,,
130,OAK,1997,1264218,AL,764,946,65,0.339,0.423,0.26,0,,,162,,
131,PHI,1997,1490638,NL,668,840,68,0.322,0.385,0.255,0,,,162,,
132,PIT,1997,1657022,NL,725,760,79,0.329,0.404,0.262,0,,,162,,
133,SDP,1997,2089333,NL,795,891,76,0.342,0.407,0.271,0,,,162,,
134,SEA,1997,3192237,AL,925,833,90,0.355,0.485,0.28,1,5,4,162,,
135,SFG,1997,1690869,NL,784,793,90,0.337,0.414,0.258,1,5,4,162,,
136,STL,1997,2364387,NL,689,708,73,0.324,0.396,0.255,0,,,162,,
137,TEX,1997,2945228,AL,807,823,77,0.334,0.438,0.274,0,,,162,,
138,TOR,1997,2589297,AL,654,694,76,0.31,0.389,0.244,0,,,162,,
139,ATL,1998,3360860,NL,826,581,106,0.342,0.453,0.272,1,2,3,162,,
140,BAL,1998,3684650,AL,817,785,79,0.347,0.447,0.273,0,,,162,,
141,BOS,1998,2314704,AL,876,729,92,0.348,0.463,0.28,1,5,4,162,,
142,CHC,1998,2623194,NL,831,792,90,0.337,0.433,0.264,1,6,4,163,,
143,CHW,1998,1391146,AL,861,931,80,0.339,0.444,0.271,0,,,163,,
144,CIN,1998,1793649,NL,750,760,77,0.337,0.402,0.262,0,,,162,,
145,CLE,1998,3467299,AL,850,779,89,0.347,0.448,0.272,1,7,3,162,,
146,DET,1998,1409391,AL,722,863,65,0.323,0.415,0.264,0,,,162,,
147,HOU,1998,2458451,NL,874,620,102,0.356,0.436,0.28,1,3,4,162,,
148,KCR,1998,1494875,AL,714,899,72,0.324,0.399,0.263,0,,,161,,
149,MIL,1998,1811593,NL,707,812,74,0.33,0.396,0.26,0,,,162,,
150,MIN,1998,1165976,AL,734,818,70,0.328,0.389,0.266,0,,,162,,
151,NYM,1998,2287948,NL,706,645,88,0.33,0.394,0.259,0,,,162,,
152,NYY,1998,2955193,AL,965,656,114,0.364,0.46,0.288,1,1,1,162,,
153,OAK,1998,1232343,AL,804,866,74,0.338,0.397,0.257,0,,,162,,
154,PHI,1998,1715722,NL,713,808,75,0.326,0.395,0.264,0,,,162,,
155,PIT,1998,1560950,NL,650,718,69,0.311,0.374,0.254,0,,,163,,
156,SDP,1998,2555874,NL,749,635,98,0.33,0.409,0.253,1,4,2,162,,
157,SEA,1998,2651511,AL,859,855,76,0.345,0.468,0.276,0,,,161,,
158,SFG,1998,1925364,NL,845,739,89,0.353,0.421,0.274,0,,,163,,
159,STL,1998,3195691,NL,810,782,83,0.341,0.441,0.258,0,,,163,,
160,TEX,1998,2927399,AL,940,871,88,0.357,0.462,0.289,1,8,4,162,,
161,TOR,1998,2454303,AL,816,768,88,0.34,0.448,0.266,0,,,163,,
162,ATL,1999,3284901,NL,840,661,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377
163,BAL,1999,3432099,AL,851,815,78,0.353,0.447,0.279,0,,,162,0.35,0.441
164,BOS,1999,2446277,AL,836,718,94,0.35,0.448,0.278,1,6,3,162,0.315,0.398
165,CHC,1999,2813854,NL,747,920,67,0.329,0.42,0.257,0,,,162,0.346,0.467
166,CHW,1999,1349151,AL,777,870,75,0.337,0.429,0.277,0,,,162,0.353,0.447
167,CIN,1999,2061324,NL,865,711,96,0.341,0.451,0.272,0,,,163,0.324,0.411
168,CLE,1999,3468436,AL,1009,860,97,0.373,0.467,0.289,1,4,4,162,0.347,0.439
169,DET,1999,2026491,AL,747,882,69,0.326,0.443,0.261,0,,,161,0.349,0.451
170,HOU,1999,2706017,NL,823,675,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397
171,KCR,1999,1506068,AL,856,921,64,0.348,0.433,0.282,0,,,161,0.365,0.454
172,MIL,1999,1701790,NL,815,886,74,0.353,0.426,0.273,0,,,161,0.356,0.457
173,MIN,1999,1202829,AL,686,845,63,0.328,0.384,0.264,0,,,161,0.342,0.465
174,NYM,1999,2726008,NL,853,711,97,0.363,0.434,0.279,1,4,3,163,0.331,0.418
175,NYY,1999,3293659,AL,900,731,98,0.366,0.453,0.282,1,3,1,162,0.329,0.4
176,OAK,1999,1434632,AL,893,846,87,0.355,0.446,0.259,0,,,162,0.344,0.428
177,PHI,1999,1825337,NL,841,846,77,0.351,0.431,0.275,0,,,162,0.347,0.447
178,PIT,1999,1638023,NL,775,782,78,0.334,0.419,0.259,0,,,161,0.343,0.42
179,SDP,1999,2523538,NL,710,781,74,0.332,0.393,0.252,0,,,162,0.333,0.43
180,SEA,1999,1457954,AL,859,905,79,0.343,0.455,0.269,0,,,162,0.368,0.454
181,SFG,1999,2078365,NL,872,831,86,0.356,0.434,0.271,0,,,162,0.345,0.423
182,STL,1999,3235833,NL,809,838,75,0.338,0.426,0.262,0,,,161,0.355,0.427
183,TEX,1999,2774501,AL,945,859,95,0.361,0.479,0.293,1,5,4,162,0.346,0.459
184,TOR,1999,2163486,AL,883,862,84,0.352,0.457,0.28,0,,,162,0.353,0.456
185,ATL,2000,3229082,NL,810,714,95,0.346,0.429,0.271,1,2,4,162,0.319,0.402
186,BAL,2000,3296031,AL,794,913,74,0.341,0.435,0.272,0,,,162,0.352,0.449
187,BOS,2000,2585895,AL,792,745,85,0.341,0.423,0.267,0,,,162,0.322,0.411
188,CHC,2000,2789511,NL,764,904,65,0.335,0.411,0.256,0,,,162,0.348,0.452
189,CHW,2000,1947799,AL,978,839,95,0.356,0.47,0.286,1,2,4,162,0.346,0.434
190,CIN,2000,2599318,NL,825,765,85,0.343,0.447,0.274,0,,,163,0.341,0.438
191,CLE,2000,3456278,AL,950,816,90,0.367,0.47,0.288,0,,,162,0.35,0.425
192,DET,2000,2533752,AL,823,827,79,0.343,0.438,0.275,0,,,162,0.34,0.443
193,HOU,2000,3056139,NL,938,944,72,0.361,0.477,0.278,0,,,162,0.353,0.476
194,KCR,2000,1677915,AL,879,930,77,0.348,0.425,0.288,0,,,162,0.362,0.474
195,LAD,2000,3010765,NL,798,729,86,0.341,0.431,0.257,0,,,162,0.332,0.407
196,MIL,2000,1573621,NL,740,826,73,0.325,0.403,0.246,0,,,163,0.357,0.42
197,MIN,2000,1059715,AL,748,880,69,0.337,0.407,0.27,0,,,162,0.347,0.466
198,NYM,2000,2775661,NL,807,738,94,0.346,0.43,0.263,1,3,2,162,0.327,0.403
199,NYY,2000,3227657,AL,871,814,87,0.354,0.45,0.277,1,5,1,161,0.336,0.422
200,OAK,2000,1728888,AL,947,813,91,0.36,0.458,0.27,1,4,4,161,0.348,0.423
201,PHI,2000,1612769,NL,708,830,65,0.329,0.4,0.251,0,,,162,0.343,0.448
202,PIT,2000,1709119,NL,793,888,69,0.339,0.424,0.267,0,,,162,0.361,0.432
203,SDP,2000,2423149,NL,752,815,76,0.33,0.402,0.254,0,,,162,0.34,0.416
204,SEA,2000,3148317,AL,907,780,91,0.361,0.442,0.269,1,4,3,162,0.339,0.416
205,SFG,2000,3315330,NL,925,747,97,0.362,0.472,0.278,1,1,4,162,0.342,0.412
206,STL,2000,3336493,NL,887,771,95,0.356,0.455,0.27,1,2,3,162,0.338,0.434
207,TEX,2000,2800147,AL,848,974,71,0.352,0.446,0.283,0,,,162,0.369,0.475
208,TOR,2000,1819885,AL,861,908,83,0.341,0.469,0.275,0,,,162,0.354,0.456
209,ATL,2001,2823530,NL,729,643,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384
210,BAL,2001,3094841,AL,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
211,BOS,2001,2625333,AL,772,745,82,0.334,0.439,0.266,0,,,161,0.329,0.393
212,CHC,2001,2779465,NL,777,701,88,0.336,0.43,0.261,0,,,162,0.321,0.398
213,CHW,2001,1766172,AL,798,795,83,0.334,0.451,0.268,0,,,162,0.334,0.427
214,CIN,2001,1879757,NL,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
215,CLE,2001,3175523,AL,897,821,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417
216,DET,2001,1921305,AL,724,876,66,0.32,0.409,0.26,0,,,162,0.357,0.461
217,HOU,2001,2904277,NL,847,769,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437
218,KCR,2001,1536371,AL,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
219,LAD,2001,3017143,NL,758,744,86,0.323,0.425,0.255,0,,,162,0.323,0.411
220,MIL,2001,2811041,NL,740,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44
221,MIN,2001,1782926,AL,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437
222,NYM,2001,2658330,NL,642,713,82,0.323,0.387,0.249,0,,,162,0.314,0.419
223,NYY,2001,3265907,AL,804,713,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398
224,OAK,2001,2154496,AL,884,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38
225,PHI,2001,1782054,NL,746,719,86,0.329,0.414,0.26,0,,,162,0.329,0.424
226,PIT,2001,2428661,NL,657,858,62,0.313,0.393,0.247,0,,,162,0.344,0.433
227,SDP,2001,2378128,NL,789,812,79,0.336,0.399,0.252,0,,,162,0.33,0.45
228,SEA,2001,3507326,AL,927,627,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378
229,SFG,2001,3311958,NL,799,748,90,0.342,0.46,0.266,0,,,162,0.329,0.404
230,STL,2001,3109578,NL,814,684,93,0.339,0.441,0.27,1,4,4,162,0.328,0.428
231,TEX,2001,2831021,AL,890,968,73,0.344,0.471,0.275,0,,,162,0.362,0.494
232,TOR,2001,1915438,AL,767,753,80,0.325,0.43,0.263,0,,,162,0.339,0.435
233,ATL,2002,2603484,NL,708,565,101,0.331,0.409,0.26,1,2,4,161,0.313,0.364
234,BAL,2002,2682439,AL,667,773,67,0.309,0.403,0.246,0,,,162,0.336,0.435
235,BOS,2002,2650862,AL,859,665,93,0.345,0.444,0.277,0,,,162,0.308,0.385
236,CHC,2002,2693096,NL,706,759,67,0.321,0.413,0.246,0,,,162,0.331,0.407
237,CHW,2002,1676911,AL,856,798,81,0.338,0.449,0.268,0,,,162,0.33,0.423
238,CIN,2002,1855787,NL,709,774,78,0.33,0.408,0.253,0,,,162,0.338,0.426
239,CLE,2002,2616940,AL,739,837,74,0.321,0.412,0.249,0,,,162,0.348,0.423
240,DET,2002,1503623,AL,575,864,55,0.3,0.379,0.248,0,,,161,0.343,0.455
241,HOU,2002,2517357,NL,749,695,84,0.338,0.417,0.262,0,,,162,0.33,0.41
242,KCR,2002,1323036,AL,737,891,62,0.323,0.398,0.256,0,,,162,0.349,0.464
243,LAD,2002,3131255,NL,713,643,92,0.32,0.409,0.264,0,,,162,0.315,0.387
244,MIL,2002,1969153,NL,627,821,56,0.32,0.39,0.253,0,,,162,0.352,0.442
245,MIN,2002,1924473,AL,768,712,94,0.332,0.437,0.272,1,7,3,161,0.318,0.421
246,NYM,2002,2804838,NL,690,703,75,0.322,0.395,0.256,0,,,161,0.327,0.403
247,NYY,2002,3465807,AL,897,697,103,0.354,0.455,0.275,1,1,4,161,0.309,0.395
248,OAK,2002,2169811,AL,800,654,103,0.339,0.432,0.261,1,1,4,162,0.315,0.384
249,PHI,2002,1618467,NL,710,724,80,0.339,0.422,0.259,0,,,161,0.328,0.401
250,PIT,2002,1784988,NL,641,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423
251,SDP,2002,2220601,NL,662,815,66,0.321,0.381,0.253,0,,,162,0.346,0.442
252,SEA,2002,3542938,AL,814,699,93,0.35,0.419,0.275,0,,,162,0.315,0.41
253,SFG,2002,3253203,NL,783,616,95,0.344,0.442,0.267,1,6,2,162,0.319,0.372
254,STL,2002,3011756,NL,787,648,97,0.338,0.425,0.268,1,5,3,162,0.323,0.386
255,TEX,2002,2352397,AL,843,882,72,0.338,0.455,0.269,0,,,162,0.355,0.451
256,TOR,2002,1637900,AL,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
257,ATL,2003,2401084,NL,907,740,101,0.349,0.475,0.284,1,1,4,162,0.327,0.401
258,BAL,2003,2454523,AL,743,820,71,0.323,0.405,0.268,0,,,163,0.346,0.446
259,BOS,2003,2724165,AL,961,809,95,0.36,0.491,0.289,1,4,3,162,0.327,0.415
260,CHC,2003,2962630,NL,724,683,88,0.323,0.416,0.259,1,7,3,162,0.324,0.372
261,CHW,2003,1939524,AL,791,715,86,0.331,0.446,0.263,0,,,162,0.322,0.404
262,CIN,2003,2355259,NL,694,886,69,0.318,0.395,0.245,0,,,162,0.349,0.463
263,CLE,2003,1730002,AL,699,778,68,0.316,0.401,0.254,0,,,162,0.329,0.426
264,DET,2003,1368245,AL,591,928,43,0.3,0.375,0.24,0,,,162,0.352,0.461
265,HOU,2003,2454241,NL,805,677,87,0.336,0.431,0.263,0,,,162,0.326,0.397
266,KCR,2003,1779895,AL,836,867,83,0.336,0.427,0.274,0,,,162,0.348,0.45
267,LAD,2003,3138626,NL,574,556,85,0.303,0.368,0.243,0,,,162,0.306,0.354
268,MIL,2003,1700354,NL,714,873,68,0.329,0.419,0.256,0,,,162,0.348,0.462
269,MIN,2003,1946011,AL,801,758,90,0.341,0.431,0.277,1,6,4,162,0.319,0.428
270,NYM,2003,2140599,NL,642,754,66,0.314,0.374,0.247,0,,,161,0.345,0.438
271,NYY,2003,3465600,AL,877,716,101,0.356,0.453,0.271,1,1,2,163,0.314,0.407
272,OAK,2003,2216596,AL,768,643,96,0.327,0.417,0.254,1,3,4,162,0.314,0.376
273,PHI,2003,2259948,NL,791,697,86,0.343,0.419,0.261,0,,,162,0.327,0.401
274,PIT,2003,1636751,NL,753,801,75,0.338,0.42,0.267,0,,,162,0.336,0.431
275,SDP,2003,2030084,NL,678,831,64,0.333,0.388,0.261,0,,,162,0.341,0.437
276,SEA,2003,3268509,AL,795,637,93,0.344,0.41,0.271,0,,,162,0.311,0.388
277,SFG,2003,3264898,NL,755,638,100,0.338,0.425,0.264,1,2,4,161,0.321,0.386
278,STL,2003,2910386,NL,876,796,85,0.35,0.454,0.279,0,,,162,0.336,0.452
279,TEX,2003,2094394,AL,826,969,71,0.33,0.454,0.266,0,,,162,0.36,0.473
280,TOR,2003,1799458,AL,894,826,86,0.349,0.455,0.279,0,,,162,0.337,0.441
281,ATL,2004,2322565,NL,803,668,96,0.343,0.434,0.27,1,4,4,162,0.329,0.4
282,BAL,2004,2744013,AL,842,830,78,0.345,0.432,0.281,0,,,162,0.348,0.404
283,BOS,2004,2837304,AL,949,768,98,0.36,0.472,0.282,1,3,1,162,0.318,0.408
284,CHC,2004,3170184,NL,789,665,89,0.328,0.458,0.268,0,,,162,0.321,0.395
285,CHW,2004,1930537,AL,865,831,83,0.333,0.457,0.268,0,,,162,0.338,0.453
286,CIN,2004,2287250,NL,750,907,76,0.331,0.418,0.25,0,,,162,0.348,0.481
287,CLE,2004,1814401,AL,858,857,80,0.351,0.444,0.276,0,,,162,0.342,0.445
288,DET,2004,1917004,AL,827,844,72,0.337,0.449,0.272,0,,,162,0.34,0.441
289,HOU,2004,3087872,NL,803,698,92,0.342,0.436,0.267,1,6,3,162,0.328,0.417
290,KCR,2004,1661478,AL,720,905,58,0.322,0.397,0.259,0,,,162,0.352,0.476
291,LAD,2004,3488283,NL,761,684,93,0.332,0.423,0.262,1,5,4,162,0.323,0.408
292,MIL,2004,2062382,NL,634,757,67,0.321,0.387,0.248,0,,,161,0.32,0.417
293,MIN,2004,1879222,AL,780,715,92,0.332,0.431,0.266,1,6,4,162,0.323,0.406
294,NYM,2004,2318321,NL,684,731,71,0.317,0.409,0.249,0,,,162,0.335,0.405
295,NYY,2004,3775292,AL,897,808,101,0.353,0.458,0.268,1,2,3,162,0.328,0.432
296,OAK,2004,2201516,AL,793,742,91,0.343,0.433,0.27,0,,,162,0.332,0.409
297,PHI,2004,3206532,NL,840,781,86,0.345,0.443,0.267,0,,,162,0.33,0.448
298,PIT,2004,1583031,NL,680,744,72,0.321,0.401,0.26,0,,,161,0.342,0.416
299,SDP,2004,3040046,NL,768,705,87,0.342,0.414,0.273,0,,,162,0.318,0.431
300,SEA,2004,2940731,AL,698,823,63,0.331,0.396,0.27,0,,,162,0.338,0.441
301,SFG,2004,3258864,NL,850,770,91,0.357,0.438,0.27,0,,,162,0.332,0.423
302,STL,2004,3048427,NL,855,659,105,0.344,0.46,0.278,1,1,2,162,0.313,0.403
303,TEX,2004,2513685,AL,860,794,89,0.329,0.457,0.266,0,,,162,0.344,0.432
304,TOR,2004,1900041,AL,719,823,67,0.328,0.403,0.26,0,,,161,0.348,0.434
305,ATL,2005,2521534,NL,769,674,90,0.333,0.435,0.265,1,4,4,162,0.333,0.406
